Year,Month,Council,Applications,Assessments,pop
2007,10,Argyll & Bute,95,70,90790
2007,11,Argyll & Bute,85,80,90790
2007,12,Argyll & Bute,70,25,90790
2008,1,Argyll & Bute,90,85,89910
2008,2,Argyll & Bute,95,60,89910
2008,3,Argyll & Bute,80,60,89910
2008,4,Argyll & Bute,90,75,89910
2008,5,Argyll & Bute,80,40,89910
2008,6,Argyll & Bute,75,60,89910
2008,7,Argyll & Bute,90,65,89910
2008,8,Argyll & Bute,75,45,89910
2008,9,Argyll & Bute,70,55,89910
2008,10,Argyll & Bute,75,50,89910
2008,11,Argyll & Bute,55,45,89910
2008,12,Argyll & Bute,50,30,89910
2009,1,Argyll & Bute,65,55,89450
2009,2,Argyll & Bute,70,40,89450
2009,3,Argyll & Bute,70,50,89450
2009,4,Argyll & Bute,65,40,89450
2009,5,Argyll & Bute,65,45,89450
2009,6,Argyll & Bute,90,55,89450
2009,7,Argyll & Bute,95,80,89450
2009,8,Argyll & Bute,75,50,89450
2009,9,Argyll & Bute,95,60,89450
2009,10,Argyll & Bute,80,65,89450
2009,11,Argyll & Bute,65,80,89450
2009,12,Argyll & Bute,55,45,89450
2010,1,Argyll & Bute,80,60,88620
2010,2,Argyll & Bute,80,45,88620
2010,3,Argyll & Bute,85,55,88620
2010,4,Argyll & Bute,80,65,88620
2010,5,Argyll & Bute,70,65,88620
2010,6,Argyll & Bute,95,65,88620
2010,7,Argyll & Bute,70,65,88620
2010,8,Argyll & Bute,80,50,88620
2010,9,Argyll & Bute,70,65,88620
2010,10,Argyll & Bute,60,50,88620
2010,11,Argyll & Bute,50,50,88620
2010,12,Argyll & Bute,40,25,88620
2011,1,Argyll & Bute,55,30,88930
